status,priority,updated,issue_type,reporter,created,resolutiondate,vote_count,project,assignee,comment_count,key,description_length,summary_length,watch_count,resolution,days_in_current_status,from_status,when,days_in_from_status,who,to_status,days_since_open,transition,weekday,week_of_year,day,month,year,sec_to_sol,sec_passed_so_far,logsec_to_sol,transictions_so_far,issue_solved_by_assignee,calendar_day,count,count_month_of_year,count_year,team_count
0,2,2010-03-01T17:09:18.603+0000,0,thiru_mg,2010-01-13T02:38:41.340+0000,2010-01-15T03:30:45.703+0000,0,AVRO,14,4,AVRO-313,1385.0,88,1,1,2977.58478304,2,2010-01-14T12:54:00.063+0000,1.42370505787,129,2,1.42730003472,Patch Available to Resolved,3.0,2.0,14.0,1.0,2010.0,52605.64,123318.723,10.870578617312283,2.0,4,14-1-2010,0,3601,18730,2.0
0,2,2010-03-01T17:09:18.603+0000,0,thiru_mg,2010-01-13T02:38:41.340+0000,2010-01-15T03:30:45.703+0000,0,AVRO,14,4,AVRO-313,1385.0,88,1,1,2977.58478304,2,2010-01-14T12:54:00.063+0000,1.42370505787,129,2,1.42730003472,Patch Available to Resolved,3.0,2.0,14.0,1.0,2010.0,52605.64,123318.723,10.870578617312283,2.0,4,14-1-2010,0,3601,18730,2.0
0,2,2010-03-01T17:09:18.603+0000,0,thiru_mg,2010-01-13T02:38:41.340+0000,2010-01-15T03:30:45.703+0000,0,AVRO,14,4,AVRO-313,1385.0,88,1,1,2977.58478304,2,2010-01-14T23:28:06.549+0000,0.440352847222,22,2,1.86765288194,Resolved to Reopened,3.0,2.0,14.0,1.0,2010.0,14559.154,161365.209,9.585975215666947,3.0,4,14-1-2010,142,3601,18730,2.0
0,2,2010-03-01T17:09:18.603+0000,0,thiru_mg,2010-01-13T02:38:41.340+0000,2010-01-15T03:30:45.703+0000,0,AVRO,14,4,AVRO-313,1385.0,88,1,1,2977.58478304,2,2010-01-14T23:28:06.549+0000,0.440352847222,22,2,1.86765288194,Resolved to Reopened,3.0,2.0,14.0,1.0,2010.0,14559.154,161365.209,9.585975215666947,3.0,4,14-1-2010,0,3601,18730,2.0
0,2,2010-03-01T17:09:18.603+0000,0,thiru_mg,2010-01-13T02:38:41.340+0000,2010-01-15T03:30:45.703+0000,0,AVRO,14,4,AVRO-313,1385.0,88,1,1,2977.58478304,2,2010-01-14T23:28:06.549+0000,0.440352847222,22,2,1.86765288194,Resolved to Reopened,3.0,2.0,14.0,1.0,2010.0,14559.154,161365.209,9.585975215666947,3.0,4,14-1-2010,0,3601,18730,2.0
0,2,2010-03-01T21:47:26.496+0000,1,thiru_mg,2010-01-10T17:07:27.309+0000,2010-01-13T13:20:43.633+0000,0,AVRO,14,3,AVRO-304,227.0,70,1,2,2977.39163613,0,2010-01-10T17:07:27.309+0000,0.0,129,0,0.0,Non-existent to Open,6.0,1.0,10.0,1.0,2010.0,245596.324,0.0,12.411444507716402,0.0,4,10-1-2010,56,3601,18730,1.0
0,2,2010-03-01T21:47:26.425+0000,1,jmhsieh,2010-01-08T00:28:44.481+0000,2010-02-10T06:50:14.505+0000,0,AVRO,14,5,AVRO-295,1788.0,66,1,3,2977.39163697,0,2010-01-08T00:28:44.481+0000,0.0,62,0,0.0,Non-existent to Open,4.0,1.0,8.0,1.0,2010.0,2874090.024,0.0,14.871246668721348,0.0,4,8-1-2010,52,3601,18730,2.0
0,2,2010-03-01T21:47:26.425+0000,1,jmhsieh,2010-01-08T00:28:44.481+0000,2010-02-10T06:50:14.505+0000,0,AVRO,14,5,AVRO-295,1788.0,66,1,3,2977.39163697,1,2010-02-09T13:16:09.186+0000,32.5329248264,129,1,32.5329248264,Open to Patch Available,1.0,6.0,9.0,2.0,2010.0,63245.319,2810844.705,11.054776395945908,1.0,4,9-2-2010,7,1005,18730,2.0
0,2,2010-03-01T17:09:17.453+0000,0,thiru_mg,2010-01-04T00:41:01.985+0000,2010-01-10T14:41:14.781+0000,0,AVRO,14,1,AVRO-281,663.0,51,0,1,2977.58479639,0,2010-01-04T00:41:01.985+0000,0.0,129,0,0.0,Non-existent to Open,0.0,1.0,4.0,1.0,2010.0,568812.796,0.0,13.25130665370195,0.0,4,4-1-2010,53,3601,18730,1.0
0,2,2010-03-01T17:09:17.453+0000,0,thiru_mg,2010-01-04T00:41:01.985+0000,2010-01-10T14:41:14.781+0000,0,AVRO,14,1,AVRO-281,663.0,51,0,1,2977.58479639,1,2010-01-04T00:42:56.948+0000,0.00133059027778,129,1,0.00133059027778,Open to Patch Available,0.0,1.0,4.0,1.0,2010.0,568697.833,114.963,13.251104522842757,1.0,4,4-1-2010,14,3601,18730,1.0
0,3,2010-03-01T17:09:13.924+0000,2,kevinoliver,2009-12-18T19:01:20.116+0000,2010-02-09T03:40:56.632+0000,0,AVRO,14,20,AVRO-261,264.0,29,2,1,2977.58483725,0,2009-12-18T19:01:20.116+0000,0.0,71,0,0.0,Non-existent to Open,4.0,51.0,18.0,12.0,2009.0,4523976.516,0.0,15.324901925223243,0.0,4,18-12-2009,48,582,2940,2.0
0,3,2010-03-01T17:09:13.924+0000,2,kevinoliver,2009-12-18T19:01:20.116+0000,2010-02-09T03:40:56.632+0000,0,AVRO,14,20,AVRO-261,264.0,29,2,1,2977.58483725,1,2010-02-01T15:15:39.572+0000,44.8432807407,129,1,44.8432807407,Open to Patch Available,0.0,5.0,1.0,2.0,2010.0,649517.06,3874459.456,13.383984381106574,1.0,4,1-2-2010,10,1005,18730,2.0
0,3,2011-12-13T19:06:50.745+0000,1,thiru_mg,2009-12-01T13:26:50.398+0000,2009-12-09T07:43:59.211+0000,1,AVRO,14,5,AVRO-246,147.0,74,1,1,2977.58485138,0,2009-12-01T13:26:50.398+0000,0.0,129,0,0.0,Non-existent to Open,1.0,49.0,1.0,12.0,2009.0,670628.813,0.0,13.41597107809185,0.0,4,1-12-2009,51,582,2940,1.0
0,3,2011-12-13T19:06:50.745+0000,1,thiru_mg,2009-12-01T13:26:50.398+0000,2009-12-09T07:43:59.211+0000,1,AVRO,14,5,AVRO-246,147.0,74,1,1,2977.58485138,1,2009-12-07T06:04:07.059+0000,5.69255394676,129,1,5.69255394676,Open to Patch Available,0.0,50.0,7.0,12.0,2009.0,178792.152,491836.661,12.093979248140792,1.0,4,7-12-2009,9,582,2940,1.0
0,2,2010-03-01T21:47:26.150+0000,0,thiru_mg,2009-11-18T13:53:59.117+0000,2009-11-21T02:26:59.436+0000,0,AVRO,14,1,AVRO-212,228.0,70,1,0,2977.39164023,0,2009-11-18T13:53:59.117+0000,0.0,129,0,0.0,Non-existent to Open,2.0,47.0,18.0,11.0,2009.0,217980.319,0.0,12.292160057879244,0.0,4,18-11-2009,38,799,2940,1.0
0,2,2010-03-01T21:47:26.150+0000,0,thiru_mg,2009-11-18T13:53:59.117+0000,2009-11-21T02:26:59.436+0000,0,AVRO,14,1,AVRO-212,228.0,70,1,0,2977.39164023,1,2009-11-18T13:55:54.114+0000,0.0013309837963,129,1,0.0013309837963,Open to Patch Available,2.0,47.0,18.0,11.0,2009.0,217865.322,114.997,12.29163236187015,1.0,4,18-11-2009,8,799,2940,1.0
0,2,2011-12-13T19:10:04.272+0000,0,thiru_mg,2009-11-12T06:37:31.296+0000,2009-11-12T23:31:22.065+0000,0,AVRO,14,3,AVRO-193,129.0,37,0,1,2977.58489636,0,2009-11-12T06:37:31.296+0000,0.0,129,0,0.0,Non-existent to Open,3.0,46.0,12.0,11.0,2009.0,60830.769,0.0,11.015851009023436,0.0,4,12-11-2009,29,799,2940,1.0
0,2,2011-12-13T19:10:04.272+0000,0,thiru_mg,2009-11-12T06:37:31.296+0000,2009-11-12T23:31:22.065+0000,0,AVRO,14,3,AVRO-193,129.0,37,0,1,2977.58489636,1,2009-11-12T06:39:50.967+0000,0.0016165625,129,1,0.0016165625,Open to Patch Available,3.0,46.0,12.0,11.0,2009.0,60691.098,139.671,11.013552310608903,1.0,4,12-11-2009,5,799,2940,1.0
0,3,2010-03-01T17:09:07.623+0000,0,thiru_mg,2009-11-06T17:57:02.711+0000,2009-12-04T14:36:55.986+0000,0,AVRO,14,8,AVRO-184,1664.0,36,0,1,2977.58491018,0,2009-11-06T17:57:02.711+0000,0.0,129,0,0.0,Non-existent to Open,4.0,45.0,6.0,11.0,2009.0,2407193.275,0.0,14.693972010591843,0.0,4,6-11-2009,33,799,2940,1.0
0,2,2011-12-13T19:06:51.385+0000,0,thiru_mg,2009-10-07T19:02:42.198+0000,2009-10-07T19:41:36.718+0000,0,AVRO,14,1,AVRO-138,616.0,46,0,1,3115.51270508,0,2009-10-07T19:02:42.198+0000,0.0,129,0,0.0,Non-existent to Open,2.0,41.0,7.0,10.0,2009.0,2334.52,0.0,7.755561581519292,0.0,4,7-10-2009,15,352,2940,1.0
0,2,2011-12-13T19:06:45.948+0000,0,thiru_mg,2009-10-05T21:05:34.639+0000,2009-10-07T18:36:56.806+0000,0,AVRO,14,7,AVRO-134,519.0,72,2,1,3115.51270783,0,2009-10-05T21:05:34.639+0000,0.0,129,0,0.0,Non-existent to Open,0.0,41.0,5.0,10.0,2009.0,163882.167,0.0,12.006902954663449,0.0,4,5-10-2009,17,352,2940,1.0
